Date,Site,PlotType,ID,Forest_status,Grazing_status,Grid_X,Grid_Y,Time,Species,How_recorded,Distance,Year ,Weather_1,Weather_2
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,06:45,Phylloscopus trochilus,Singing,10,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,10:07,Pyrrhula pyrrhula,Calling,50,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,10:08,Phylloscopus trochilus,Seen,25,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,10:09,Fringilla coelebs,Seen,40,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,10:10,Phylloscopus trochilus,Seen,5,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,09:55,Troglodytes troglodytes,Singing,50,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,10:10,Carduelis cabaret,Seen,50,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:00,Phylloscopus trochilus,Singing,50,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:00,Phylloscopus trochilus,Calling,50,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:01,Anthus trivialis,Seen,35,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:02,Phylloscopus trochilus,Singing,30,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:04,Phylloscopus trochilus,Singing,30,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:04,Troglodytes troglodytes,Singing,30,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:13,Anthus pratensis,Seen,25,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:13,Carduelis cabaret,Calling,30,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:14,Phylloscopus trochilus,Seen,25,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:00,Troglodytes troglodytes,Singing,25,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
12/06/2019,1,1,1,Reforestation,Ungrazed,212503,820356,07:02,Carduelis cabaret,Singing,30,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,2,2,Unforested,Grazed,212430,820123,06:45,Anthus pratensis,Seen,50,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,2,2,Unforested,Grazed,212430,820123,07:02,Fringilla coelebs,Seen,45,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,3,3,Unforested,Ungrazed,212409,820252,06:47,Carduelis cabaret,Seen,50,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,3,3,Unforested,Ungrazed,212409,820252,07:07,Troglodytes troglodytes,Singing,50,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,1,3,3,Unforested,Ungrazed,212409,820252,07:11,Troglodytes troglodytes,Singing,45,1990,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:48,Phylloscopus trochilus,Singing,20,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,08:25,Anthus pratensis,Calling,40,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,08:32,Anthus pratensis,Calling,50,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,08:33,Anthus pratensis,Calling,50,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,08:30,Anthus pratensis,Seen,50,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:04,Phylloscopus trochilus,Singing ,10,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:04,Phylloscopus trochilus,Singing,30,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:04,Phylloscopus trochilus,Singing,50,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:05,Phylloscopus trochilus,Singing,5,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:06,Phylloscopus trochilus,Seen,10,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:10,Carduelis cabaret,Seen,50,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:10,Phylloscopus trochilus,Seen,10,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:12,Phylloscopus trochilus,Singing,25,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:12,Anthus pratensis,Seen,10,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:14,Anthus pratensis,Fly over,40,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:18,Erithacus rubecula,Singing,5,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:16,Carduelis cabaret,Seen,10,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:05,Anthus pratensis,Seen,20,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:06,Anthus pratensis,Seen,21,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:08,Anthus pratensis,Seen,20,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:09,Anthus pratensis,Seen,25,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:11,Anthus pratensis,Seen,25,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:12,Anthus pratensis,Seen,25,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:12,Anthus pratensis,Seen,25,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:14,Anthus pratensis,Seen,15,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:15,Phylloscopus trochilus,Seen,15,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,06:16,Anthus pratensis,Seen,15,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,09:41,Anthus pratensis,Calling,20,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,09:41,Phylloscopus trochilus,Calling,50,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,09:43,Phylloscopus trochilus,Singing,50,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
12/06/2019,2,1,4,Reforestation,Ungrazed,211579,819791,09:43,Phylloscopus trochilus,Singing,50,1994,"Light breeze, high cloud, glimpses sun","Light-mid wind, scattered cloud (sun elsewhere)"
01/06/2019,2,2,5,Unforested,Grazed,212215,820001,06:49,Periparus ater,Seen,25,1994,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,2,2,5,Unforested,Grazed,212215,820001,09:46,Phylloscopus trochilus,Seen,25,1994,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,2,2,5,Unforested,Grazed,212215,820001,09:48,Phylloscopus trochilus,Seen,25,1994,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
01/06/2019,2,2,5,Unforested,Grazed,212215,820001,09:51,Troglodytes troglodytes,Singing,40,1994,"Overcast, light wind","Mid-high wind, scattered cloud (sun elsewhere)"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,06:53,Saxicola torquata,Seen,25,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:52,Phylloscopus trochilus,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:52,Anthus pratensis,Seen,10,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:55,Anthus pratensis,Calling,20,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:55,Anthus pratensis,Calling,20,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:41,Anthus pratensis,Seen,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:41,Anthus pratensis,Seen,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:43,Anthus pratensis,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:44,Anthus pratensis,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:46,Anthus pratensis,Seen,45,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:50,Anthus pratensis,Seen,30,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,09:55,Phylloscopus trochilus,Singing,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:37,Anthus pratensis,Seen,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:37,Anthus pratensis,Seen,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:40,Anthus pratensis,Seen,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:40,Anthus pratensis,Seen,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,11:14,Anthus pratensis,Seen,25,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,06:52,Phylloscopus trochilus,Singing,30,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,06:53,Anthus pratensis,Seen,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:27,Anthus pratensis,Seen,25,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:29,Anthus pratensis,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:29,Anthus pratensis,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:29,Anthus pratensis,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:29,Anthus pratensis,Seen,10,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:32,Anthus pratensis,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:27,Phylloscopus trochilus,Singing,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:48,Carduelis cabaret,Seen,25,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:50,Phylloscopus trochilus,Singing,20,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:51,Phylloscopus trochilus,Singing,25,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:54,Phylloscopus trochilus,Seen,25,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:54,Phylloscopus trochilus,Singing,30,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:54,Phylloscopus trochilus,Singing,30,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,10:55,Carduelis cabaret,Seen,30,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:02,Phylloscopus trochilus,Singing,25,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:02,Phylloscopus trochilus,Singing,50,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:04,Anthus pratensis,Seen,35,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:04,Phylloscopus trochilus,Singing,15,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:08,Anthus pratensis,Seen,30,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:11,Carduelis cabaret,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
07/06/2019,5,1,13,Reforestation,Ungrazed,282190,819945,07:12,Carduelis cabaret,Seen,40,1997,"Sunny, very slight breeze, frost on tops mountains","Still, cloud and sun"
28/05/2019,5,2,14,Unforested,Grazed,285890,819963,06:46,Anthus pratensis,Singing,40,1997,"Sun & cloud, light breeze","Breeze, cloud and sun"
28/05/2019,5,2,14,Unforested,Grazed,285890,819963,07:12,Anthus pratensis,Singing,40,1997,"Sun & cloud, light breeze","Breeze, cloud and sun"
28/05/2019,5,2,14,Unforested,Grazed,285890,819963,08:27,Anthus pratensis,Seen,30,1997,"Sun & cloud, light breeze","Breeze, cloud and sun"
28/05/2019,5,2,14,Unforested,Grazed,285890,819963,08:29,Anthus pratensis,Seen,50,1997,"Sun & cloud, light breeze","Breeze, cloud and sun"
07/06/2019,5,2,14,Unforested,Grazed,285890,819963,10:00,Phylloscopus trochilus,Singing,30,1997,"Sun & cloud, light breeze","Breeze, cloud and sun"
28/05/2019,5,3,15,Unforested,Ungrazed,289480,820102,06:49,Anthus pratensis,Seen,40,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
28/05/2019,5,3,15,Unforested,Ungrazed,289480,820102,10:06,Anthus pratensis,Fly over,25,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
07/06/2019,5,3,15,Unforested,Ungrazed,289480,820102,07:42,Phylloscopus trochilus,Singing,50,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
07/06/2019,5,3,15,Unforested,Ungrazed,289480,820102,07:43,Anthus pratensis,Seen,40,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
07/06/2019,5,3,15,Unforested,Ungrazed,289480,820102,07:44,Anthus pratensis,Seen,25,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
07/06/2019,5,3,15,Unforested,Ungrazed,289480,820102,07:46,Anthus pratensis,Seen,30,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
07/06/2019,5,3,15,Unforested,Ungrazed,289480,820102,07:55,Anthus pratensis,Seen,10,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
07/06/2019,5,3,15,Unforested,Ungrazed,289480,820102,07:43,Anthus pratensis,Seen,50,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
07/06/2019,5,3,15,Unforested,Ungrazed,289480,820102,07:25,Fringilla coelebs,Seen,10,1997,"Sunny, very slight breeze","Breeze, cloud and sun"
28/05/2019,7,1,19,Reforestation,Ungrazed,252000,818468,06:55,Phylloscopus trochilus,Singing,40,1999,"Sunny intervals, light breeze, light rain shower 10:58","Breeze, cloud and sun"
28/05/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:25,Fringilla coelebs,Seen,10,1999,"Sunny intervals, light breeze, light rain shower 10:59","Breeze, cloud and sun"
28/05/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:27,Phylloscopus trochilus,Singing,25,1999,"Sunny intervals, light breeze, light rain shower 10:60","Breeze, cloud and sun"
28/05/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:27,Phylloscopus trochilus,Singing,25,1999,"Sunny intervals, light breeze, light rain shower 10:61","Breeze, cloud and sun"
28/05/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:29,Troglodytes troglodytes,Singing,20,1999,"Sunny intervals, light breeze, light rain shower 10:62","Breeze, cloud and sun"
28/05/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:31,Parus major,Singing,30,1999,"Sunny intervals, light breeze, light rain shower 10:63","Breeze, cloud and sun"
28/05/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:32,Erithacus rubecula,Singing,25,1999,"Sunny intervals, light breeze, light rain shower 10:64","Breeze, cloud and sun"
07/06/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:33,Anthus trivialis,Seen,40,1999,"Sunny intervals, light breeze, light rain shower 10:65","Breeze, cloud and sun"
07/06/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:29,Phylloscopus trochilus,Singing,40,1999,"Sunny intervals, light breeze, light rain shower 10:66","Breeze, cloud and sun"
07/06/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:30,Fringilla coelebs,Singing,50,1999,"Sunny intervals, light breeze, light rain shower 10:67","Breeze, cloud and sun"
07/06/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:33,Anthus pratensis,Singing,50,1999,"Sunny intervals, light breeze, light rain shower 10:68","Breeze, cloud and sun"
07/06/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:33,Anthus pratensis,Singing,50,1999,"Sunny intervals, light breeze, light rain shower 10:69","Breeze, cloud and sun"
07/06/2019,7,1,19,Reforestation,Ungrazed,252000,818468,07:36,Phylloscopus trochilus,Seen,50,1999,"Sunny intervals, light breeze, light rain shower 10:70","Breeze, cloud and sun"
07/06/2019,7,1,19,Reforestation,Ungrazed,252000,818468,11:24,Phoenicurus phoenicurus,Seen,40,1999,"Sunny intervals, light breeze, light rain shower 10:71","Breeze, cloud and sun"
07/06/2019,7,1,19,Reforestation,Ungrazed,252000,818468,11:38,Fringilla coelebs,Singing,40,1999,"Sunny intervals, light breeze, light rain shower 10:72","Breeze, cloud and sun"
07/06/2019,7,2,20,Unforested,Grazed,258510,818738,10:02,Phylloscopus trochilus,Calling,25,1999,"Overcast, light breeze, light rain shower 09:27","Light wind, high cloud, 08:29 sun "
07/06/2019,7,2,20,Unforested,Grazed,258510,818738,11:35,Lophophanes cristatus,Seen,40,1999,"Overcast, light breeze, light rain shower 09:28","Light wind, high cloud, 08:29 sun "
28/05/2019,7,3,21,Unforested,Ungrazed,255730,818628,10:03,Carduelis cabaret,Seen,5,1999,"Sunny intervals, light breeze","High cloud, light/mid wind"
28/05/2019,7,3,21,Unforested,Ungrazed,255730,818628,11:39,Phylloscopus trochilus,Seen,40,1999,"Sunny intervals, light breeze","High cloud, light/mid wind"
07/06/2019,7,3,21,Unforested,Ungrazed,255730,818628,11:24,Periparus ater,Singing,50,1999,"Sunny intervals, light breeze","High cloud, light/mid wind"
07/06/2019,7,3,21,Unforested,Ungrazed,255730,818628,11:26,Parus major,Calling,50,1999,"Sunny intervals, light breeze","High cloud, light/mid wind"
07/06/2019,7,3,21,Unforested,Ungrazed,255730,818628,11:27,Phylloscopus trochilus,Singing,40,1999,"Sunny intervals, light breeze","High cloud, light/mid wind"
07/06/2019,7,3,21,Unforested,Ungrazed,255730,818628,11:30,Periparus ater,Singing,50,1999,"Sunny intervals, light breeze","High cloud, light/mid wind"
07/06/2019,7,3,21,Unforested,Ungrazed,255730,818628,11:30,Anthus trivialis,Seen,50,1999,"Sunny intervals, light breeze","High cloud, light/mid wind"
