ID,Site,Plot,Time,Species,Frequency,YesX,yesY,yes_grid_ref,geometry
1,1,1,1,Cychrus caraboides,1,212527,820214,212527  820214,POINT (212527  820214)
1,1,1,1,Pterostichus diligens,3,212527,820214,212527  820214,POINT (212527  820214)
1,1,1,2,Agonum fuliginosum,2,212527,820214,212527  820214,POINT (212527  820214)
1,1,1,2,Carabus problematicus,1,212527,820214,212527  820214,POINT (212527  820214)
1,1,1,3,Carabus glabratus,1,212527,820214,212527  820214,POINT (212527  820214)
1,1,1,3,Cychrus caraboides,3,212527,820214,212527  820214,POINT (212527  820214)
1,1,1,3,Leistus terminatus,1,212527,820214,212527  820214,POINT (212527  820214)
1,1,1,3,Pterostichus diligens,1,212527,820214,212527  820214,POINT (212527  820214)
2,1,2,1,Cychrus caraboides,1,212495,820173,212495  820173,POINT (212495  820173)
2,1,2,1,Notiophilus palustris,1,212495,820173,212495  820173,POINT (212495  820173)
2,1,2,1,Pterostichus diligens,8,212495,820173,212495  820173,POINT (212495  820173)
2,1,2,1,Pterostichus rhaeticus,2,212495,820173,212495  820173,POINT (212495  820173)
2,1,2,2,Agonum fuliginosum,2,212495,820173,212495  820173,POINT (212495  820173)
2,1,2,2,Pterostichus diligens,5,212495,820173,212495  820173,POINT (212495  820173)
2,1,2,2,Pterostichus rhaeticus,1,212495,820173,212495  820173,POINT (212495  820173)
2,1,2,3,Carabus problematicus,1,212495,820173,212495  820173,POINT (212495  820173)
2,1,2,3,Cychrus caraboides,1,212495,820173,212495  820173,POINT (212495  820173)
3,1,3,1,Agonum fuliginosum,2,212468,820198,212468  820198,POINT (212468  820198)
3,1,3,1,Pterostichus diligens,8,212468,820198,212468  820198,POINT (212468  820198)
3,1,3,1,Pterostichus rhaeticus,3,212468,820198,212468  820198,POINT (212468  820198)
3,1,3,2,Agonum fuliginosum,2,212468,820198,212468  820198,POINT (212468  820198)
3,1,3,2,Cychrus caraboides,2,212468,820198,212468  820198,POINT (212468  820198)
3,1,3,2,Pterostichus diligens,2,212468,820198,212468  820198,POINT (212468  820198)
3,1,3,2,Pterostichus rhaeticus,1,212468,820198,212468  820198,POINT (212468  820198)
3,1,3,3,Agonum fuliginosum,1,212468,820198,212468  820198,POINT (212468  820198)
3,1,3,3,Carabus problematicus,2,212468,820198,212468  820198,POINT (212468  820198)
4,2,1,1,Agonum fuliginosum,7,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,1,Carabus glabratus,1,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,1,Trechus obtusus,1,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,2,Agonum fuliginosum,6,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,2,Carabus glabratus,4,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,2,Leistus terminatus,5,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,2,Trechus obtusus,6,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,3,Carabus glabratus,4,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,3,Carabus problematicus,2,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,3,Leistus terminatus,1,211606,819820,211606  819820,POINT (211606  819820)
4,2,1,3,Trechus obtusus,4,211606,819820,211606  819820,POINT (211606  819820)
5,2,2,1,Pterostichus diligens,22,211961,819910,211961  819910,POINT (211961  819910)
5,2,2,1,Pterostichus rhaeticus,1,211961,819910,211961  819910,POINT (211961  819910)
5,2,2,2,Carabus violaceus,1,211961,819910,211961  819910,POINT (211961  819910)
5,2,2,2,Nebria salina,1,211961,819910,211961  819910,POINT (211961  819910)
5,2,2,2,Pterostichus diligens,2,211961,819910,211961  819910,POINT (211961  819910)
5,2,2,2,Pterostichus rhaeticus,1,211961,819910,211961  819910,POINT (211961  819910)
5,2,2,3,Carabus problematicus,2,211961,819910,211961  819910,POINT (211961  819910)
5,2,2,3,Pterostichus diligens,2,211961,819910,211961  819910,POINT (211961  819910)
6,2,3,1,Agonum fuliginosum,4,211733,819793,211733  819793,POINT (211733  819793)
6,2,3,1,Pterostichus diligens,3,211733,819793,211733  819793,POINT (211733  819793)
6,2,3,2,Agonum fuliginosum,5,211733,819793,211733  819793,POINT (211733  819793)
6,2,3,2,Pterostichus rhaeticus,3,211733,819793,211733  819793,POINT (211733  819793)
6,2,3,3,Agonum fuliginosum,1,211733,819793,211733  819793,POINT (211733  819793)
6,2,3,3,Cychrus caraboides,1,211733,819793,211733  819793,POINT (211733  819793)
6,2,3,3,Pterostichus diligens,1,211733,819793,211733  819793,POINT (211733  819793)
7,3,1,1,Cychrus caraboides,1,209650,820408,209650  820408,POINT (209650  820408)
7,3,1,1,Pterostichus rhaeticus,1,209650,820408,209650  820408,POINT (209650  820408)
7,3,1,2,Agonum fuliginosum,10,209650,820408,209650  820408,POINT (209650  820408)
7,3,1,2,Cychrus caraboides,2,209650,820408,209650  820408,POINT (209650  820408)
7,3,1,2,Pterostichus rhaeticus,1,209650,820408,209650  820408,POINT (209650  820408)
7,3,1,3,Carabus problematicus,4,209650,820408,209650  820408,POINT (209650  820408)
7,3,1,3,Cychrus caraboides,1,209650,820408,209650  820408,POINT (209650  820408)
8,3,2,1,Agonum fuliginosum,1,209477,820390,209477  820390,POINT (209477  820390)
8,3,2,1,Carabus problematicus,2,209477,820390,209477  820390,POINT (209477  820390)
8,3,2,1,Nebria salina,1,209477,820390,209477  820390,POINT (209477  820390)
8,3,2,2,Agonum fuliginosum,4,209477,820390,209477  820390,POINT (209477  820390)
8,3,2,2,Carabus violaceus,1,209477,820390,209477  820390,POINT (209477  820390)
8,3,2,3,Carabus glabratus,1,209477,820390,209477  820390,POINT (209477  820390)
8,3,2,3,Carabus problematicus,13,209477,820390,209477  820390,POINT (209477  820390)
8,3,2,3,Cychrus caraboides,2,209477,820390,209477  820390,POINT (209477  820390)
9,3,3,1,Agonum fuliginosum,7,209527,820352,209527  820352,POINT (209527  820352)
9,3,3,1,Carabus problematicus,1,209527,820352,209527  820352,POINT (209527  820352)
9,3,3,1,Pterostichus rhaeticus,1,209527,820352,209527  820352,POINT (209527  820352)
9,3,3,2,Agonum fuliginosum,14,209527,820352,209527  820352,POINT (209527  820352)
9,3,3,2,Pterostichus niger,1,209527,820352,209527  820352,POINT (209527  820352)
9,3,3,2,Pterostichus rhaeticus,2,209527,820352,209527  820352,POINT (209527  820352)
9,3,3,3,Agonum fuliginosum,2,209527,820352,209527  820352,POINT (209527  820352)
9,3,3,3,Cychrus caraboides,2,209527,820352,209527  820352,POINT (209527  820352)
10,4,1,1,Carabus glabratus,2,209745,820894,209745  820894,POINT (209745  820894)
10,4,1,1,Carabus violaceus,1,209745,820894,209745  820894,POINT (209745  820894)
10,4,1,1,Pterostichus diligens,1,209745,820894,209745  820894,POINT (209745  820894)
10,4,1,2,Carabus glabratus,5,209745,820894,209745  820894,POINT (209745  820894)
10,4,1,2,Cychrus caraboides,3,209745,820894,209745  820894,POINT (209745  820894)
10,4,1,3,Carabus glabratus,7,209745,820894,209745  820894,POINT (209745  820894)
11,4,2,1,Carabus arvensis,1,209842,820897,209842  820897,POINT (209842  820897)
11,4,2,1,Pterostichus rhaeticus,2,209842,820897,209842  820897,POINT (209842  820897)
11,4,2,2,Carabus arvensis,1,209842,820897,209842  820897,POINT (209842  820897)
11,4,2,2,Notiophilus palustris,1,209842,820897,209842  820897,POINT (209842  820897)
11,4,2,2,Pterostichus rhaeticus,2,209842,820897,209842  820897,POINT (209842  820897)
11,4,2,3,Carabus arvensis,1,209842,820897,209842  820897,POINT (209842  820897)
11,4,2,3,Carabus glabratus,2,209842,820897,209842  820897,POINT (209842  820897)
11,4,2,3,Carabus problematicus,1,209842,820897,209842  820897,POINT (209842  820897)
11,4,2,3,Pterostichus rhaeticus,1,209842,820897,209842  820897,POINT (209842  820897)
12,4,3,1,Carabus glabratus,1,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,1,Cychrus caraboides,1,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,1,Pterostichus rhaeticus,1,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,2,Agonum fuliginosum,3,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,2,Cychrus caraboides,1,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,2,Pterostichus diligens,1,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,2,Pterostichus rhaeticus,3,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,3,Agonum fuliginosum,1,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,3,Carabus glabratus,1,209792,820932,209792  820932,POINT (209792  820932)
12,4,3,3,Cychrus caraboides,1,209792,820932,209792  820932,POINT (209792  820932)
13,5,1,1,Carabus glabratus,14,208220,819946,208220  819946,POINT (208220  819946)
13,5,1,1,Trechus obtusus,1,208220,819946,208220  819946,POINT (208220  819946)
13,5,1,2,Carabus glabratus,15,208220,819946,208220  819946,POINT (208220  819946)
13,5,1,3,Carabus glabratus,10,208220,819946,208220  819946,POINT (208220  819946)
14,5,2,1,Carabus problematicus,1,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,1,Pterostichus rhaeticus,22,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,2,Agonum fuliginosum,25,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,2,Carabus problematicus,5,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,2,Carabus violaceus,1,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,2,Pterostichus rhaeticus,16,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,3,Agonum fuliginosum,5,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,3,Carabus problematicus,20,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,3,Cychrus caraboides,2,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,3,Patrobus assimilis,1,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,3,Pterostichus diligens,1,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,3,Pterostichus niger,1,208779,820036,208779  820036,POINT (208779  820036)
14,5,2,3,Pterostichus rhaeticus,7,208779,820036,208779  820036,POINT (208779  820036)
15,5,3,1,Agonum fuliginosum,3,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,1,Carabus problematicus,1,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,1,Cychrus caraboides,1,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,1,Pterostichus rhaeticus,6,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,2,Agonum fuliginosum,15,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,2,Carabus glabratus,1,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,2,Carabus violaceus,1,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,2,Pterostichus rhaeticus,4,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,3,Agonum fuliginosum,2,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,3,Carabus problematicus,2,208544,820053,208544  820053,POINT (208544  820053)
15,5,3,3,Cychrus caraboides,2,208544,820053,208544  820053,POINT (208544  820053)
16,6,1,1,Leistus terminatus,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,1,Trechus obtusus,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,2,Carabus glabratus,3,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,2,Carabus problematicus,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,2,Cychrus caraboides,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,2,Pterostichus niger,5,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,3,Calathus micropterus,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,3,Carabus glabratus,2,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,3,Cychrus caraboides,1,205803,818004,205803  818004,POINT (205803  818004)
16,6,1,3,Pterostichus niger,1,205803,818004,205803  818004,POINT (205803  818004)
17,6,2,1,Agonum fuliginosum,3,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,1,Carabus problematicus,1,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,1,Pterostichus rhaeticus,2,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,2,Agonum fuliginosum,9,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,2,Carabus problematicus,1,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,2,Cychrus caraboides,1,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,2,Pterostichus rhaeticus,2,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,3,Agonum fuliginosum,1,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,3,Carabus problematicus,10,206112,818073,206112  818073,POINT (206112  818073)
17,6,2,3,Pterostichus rhaeticus,1,206112,818073,206112  818073,POINT (206112  818073)
18,6,3,1,Agonum fuliginosum,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,1,Carabus problematicus,4,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,1,Cychrus caraboides,2,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,1,Pterostichus diligens,4,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,1,Pterostichus rhaeticus,7,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Agonum fuliginosum,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Carabus glabratus,3,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Carabus problematicus,2,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Cychrus caraboides,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Pterostichus diligens,2,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Pterostichus niger,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,2,Pterostichus rhaeticus,3,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,3,Carabus problematicus,21,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,3,Cychrus caraboides,1,205930,818001,205930  818001,POINT (205930  818001)
18,6,3,3,Pterostichus rhaeticus,2,205930,818001,205930  818001,POINT (205930  818001)
19,7,1,1,Carabus glabratus,15,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,1,Carabus problematicus,3,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,1,Carabus violaceus,1,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,1,Pterostichus niger,1,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,2,Carabus glabratus,14,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,2,Carabus problematicus,2,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,2,Pterostichus niger,3,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,3,Carabus glabratus,10,205205,818463,205205  818463,POINT (205205  818463)
19,7,1,3,Cychrus caraboides,1,205205,818463,205205  818463,POINT (205205  818463)
20,7,2,1,Nebria salina,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,1,Pterostichus diligens,4,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,1,Pterostichus rhaeticus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,1,Trechus obtusus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Agonum fuliginosum,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Nebria salina,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Notiophilus biguttatus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Pterostichus diligens,3,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,2,Trechus obtusus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,3,Carabus glabratus,1,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,3,Carabus problematicus,9,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,3,Nebria salina,5,205773,818728,205773  818728,POINT (205773  818728)
20,7,2,3,Pterostichus diligens,1,205773,818728,205773  818728,POINT (205773  818728)
21,7,3,1,Pterostichus rhaeticus,3,205381,818550,205381  818550,POINT (205381  818550)
21,7,3,2,Carabus glabratus,2,205381,818550,205381  818550,POINT (205381  818550)
21,7,3,2,Carabus violaceus,1,205381,818550,205381  818550,POINT (205381  818550)
21,7,3,3,Cychrus caraboides,1,205381,818550,205381  818550,POINT (205381  818550)
22,8,1,1,Carabus glabratus,14,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,1,Carabus problematicus,1,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,2,Carabus glabratus,2,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,2,Cychrus caraboides,1,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,3,Carabus glabratus,7,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,3,Carabus violaceus,2,223516,825891,223516  825891,POINT (223516  825891)
22,8,1,3,Trechus obtusus,1,223516,825891,223516  825891,POINT (223516  825891)
23,8,2,1,Carabus glabratus,5,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,1,Pterostichus diligens,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,1,Pterostichus madidus,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,1,Pterostichus niger,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,1,Pterostichus rhaeticus,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,2,Carabus glabratus,3,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,2,Cychrus caraboides,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,3,Abax parallelepipidus,1,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,3,Carabus glabratus,8,223478,825843,223478  825843,POINT (223478  825843)
23,8,2,3,Cychrus caraboides,1,223478,825843,223478  825843,POINT (223478  825843)
24,8,3,2,Carabus glabratus,3,223457,825820,223457  825820,POINT (223457  825820)
24,8,3,2,Carabus violaceus,1,223457,825820,223457  825820,POINT (223457  825820)
24,8,3,3,Carabus glabratus,6,223457,825820,223457  825820,POINT (223457  825820)
24,8,3,3,Cychrus caraboides,2,223457,825820,223457  825820,POINT (223457  825820)
25,8,4,1,Calathus micropterus,2,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,1,Cychrus caraboides,1,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,2,Carabus glabratus,1,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,2,Cychrus caraboides,1,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,3,Carabus glabratus,2,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,3,Carabus problematicus,1,223845,825893,223845  825893,POINT (223845  825893)
25,8,4,3,Cychrus caraboides,1,223845,825893,223845  825893,POINT (223845  825893)
26,8,5,1,Carabus glabratus,3,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,1,Carabus violaceus,1,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,1,Pterostichus oblongopunctatus,1,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,2,Calathus micropterus,2,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,2,Carabus glabratus,3,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,2,Carabus violaceus,3,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,3,Calathus micropterus,1,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,3,Carabus glabratus,2,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,3,Carabus problematicus,3,223821,825929,223821  825929,POINT (223821  825929)
26,8,5,3,Cychrus caraboides,2,223821,825929,223821  825929,POINT (223821  825929)
27,9,1,1,Carabus glabratus,24,214590,821089,214590  821089,POINT (214590  821089)
27,9,1,2,Carabus glabratus,13,214590,821089,214590  821089,POINT (214590  821089)
27,9,1,3,Carabus glabratus,16,214590,821089,214590  821089,POINT (214590  821089)
